SKU,CustomsDescription,CustomsTariffNo,CustomsCountry
WKP-UND-RIV-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-OAK-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-SNP-IM-AA,Planner agenda (bound diary),4820102010,CA
WKP-UND-WIN-IM-AB,Planner agenda (bound diary),4820102010,CA
WKP-UND-WIN-IM-AC,Planner agenda (bound diary),4820102010,CA
WKP-UND-WDL-IM-AA,Planner agenda (bound diary),4820102010,CA
WK-RIV-AD,Planner agenda (bound diary),4820102010,CA
WK-MOS-AE,Planner agenda (bound diary),4820102010,CA
NTB-BLNK-AST-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-DPF-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-MRG-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-RWO-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-SCG-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-WOK-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-WIS-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-AST-IM-AB,Notebook (bound journal),4820102060,CA
NTB-BLNK-AST-IM,Notebook (bound journal),4820102060,CA
NTB-BLNK-DPF-IM,Notebook (bound journal),4820102060,CA
NTB-BLNK-MRG-IM-AA,Notebook (bound journal),4820102060,CA
NTB-BLNK-RWO-IM,Notebook (bound journal),4820102060,CA
NTB-BLNK-SCG-IM-AC,Notebook (bound journal),4820102060,CA
NTB-BLNK-SCG-IM-AD,Notebook (bound journal),4820102060,CA
NTB-BLNK-SCG-IM,Notebook (bound journal),4820102060,CA
NTB-BLNK-WOK-IM,Notebook (bound journal),4820102060,CA
NTB-BLNK-WIS-IM-AA,Notebook (bound journal),4820102060,CA
LIN-AUT-CFX,Notebook (bound journal),4820102060,CA
LIN-CHB-CFX,Notebook (bound journal),4820102060,CA
LIN-AST-CFX,Notebook (bound journal),4820102060,CA
